#name (cmd = mergePeaks -d given wtInsv__insvInsv wtElba3__elba3Elba3 wtElba2__elba2Elba2 wtElba1__elba1Elba1 Insv_ChIPnexus_narrowPeak_q10.bed Elba3_ChIPnexus_narrowPeak_q10.bed Elba2_ChIPnexus_narrowPeak_q5.bed Elba1_ChIPnexus_narrowPeak_q10.bed -venn merge2chip_q10_given_venn.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	wtInsv__insvInsv	wtElba3__elba3Elba3	wtElba2__elba2Elba2	wtElba1__elba1Elba1	Insv_ChIPnexus_narrowPeak_q10.bed	Elba3_ChIPnexus_narrowPeak_q10.bed	Elba2_ChIPnexus_narrowPeak_q5.bed	Elba1_ChIPnexus_narrowPeak_q10.bed
Merged-chrU-2149125-3	chrU	2149046	2149206	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_12301		Elba2_ChIPnexus_peak_2889	Elba1_ChIPnexus_peak_7933
Merged-chr2L-10975201-3	chr2L	10975049	10975331	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2	3	diff__wtInsv_q20__insvInsv_q20_peak_492	diff__wtElba3_q20__elba3Elba3_q20_peak_753	diff__wtElba2_q20__elba2Elba2_q20_peak_168					
Merged-chr2L-12461331-3	chr2L	12461148	12461498	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2	3	diff__wtInsv_q20__insvInsv_q20_peak_534	diff__wtElba3_q20__elba3Elba3_q20_peak_827	diff__wtElba2_q20__elba2Elba2_q20_peak_194					
Merged-chr2R-940339-3	chr2R	940146	940560	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2	3	diff__wtInsv_q20__insvInsv_q20_peak_959	diff__wtElba3_q20__elba3Elba3_q20_peak_1336	diff__wtElba2_q20__elba2Elba2_q20_peak_310					
Merged-chr2R-942033-3	chr2R	941650	942376	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2	3	diff__wtInsv_q20__insvInsv_q20_peak_961	diff__wtElba3_q20__elba3Elba3_q20_peak_1338	diff__wtElba2_q20__elba2Elba2_q20_peak_312					
Merged-chr2R-943065-3	chr2R	942688	943411	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2	3	diff__wtInsv_q20__insvInsv_q20_peak_962	diff__wtElba3_q20__elba3Elba3_q20_peak_1339	diff__wtElba2_q20__elba2Elba2_q20_peak_313					
Merged-chr2R-2019569-3	chr2R	2019237	2019852	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2	3	diff__wtInsv_q20__insvInsv_q20_peak_990	diff__wtElba3_q20__elba3Elba3_q20_peak_1385	diff__wtElba2_q20__elba2Elba2_q20_peak_330					
Merged-chr2L-22391029-4	chr2L	22390587	22391629	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2	4	diff__wtInsv_q20__insvInsv_q20_peak_949a	diff__wtElba3_q20__elba3Elba3_q20_peak_1323	diff__wtElba2_q20__elba2Elba2_q20_peak_305,diff__wtElba2_q20__elba2Elba2_q20_peak_306					
Merged-chr2R-937594-5	chr2R	937198	938010	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2	5	diff__wtInsv_q20__insvInsv_q20_peak_956a,diff__wtInsv_q20__insvInsv_q20_peak_956b	diff__wtElba3_q20__elba3Elba3_q20_peak_1333	diff__wtElba2_q20__elba2Elba2_q20_peak_308a,diff__wtElba2_q20__elba2Elba2_q20_peak_308b					
Merged-chr2R-938573-10	chr2R	938091	939182	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2	10	diff__wtInsv_q20__insvInsv_q20_peak_957a,diff__wtInsv_q20__insvInsv_q20_peak_957b,diff__wtInsv_q20__insvInsv_q20_peak_957c	diff__wtElba3_q20__elba3Elba3_q20_peak_1334a,diff__wtElba3_q20__elba3Elba3_q20_peak_1334b,diff__wtElba3_q20__elba3Elba3_q20_peak_1334c	diff__wtElba2_q20__elba2Elba2_q20_peak_309a,diff__wtElba2_q20__elba2Elba2_q20_peak_309b,diff__wtElba2_q20__elba2Elba2_q20_peak_309c,diff__wtElba2_q20__elba2Elba2_q20_peak_309d					
Merged-chr2L-19156307-4	chr2L	19155747	19157158	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2	4	diff__wtInsv_q20__insvInsv_q20_peak_802a,diff__wtInsv_q20__insvInsv_q20_peak_802b	diff__wtElba3_q20__elba3Elba3_q20_peak_1132	diff__wtElba2_q20__elba2Elba2_q20_peak_262					
Merged-chrX-17042250-4	chrX	17041897	17042632	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2	4	diff__wtInsv_q20__insvInsv_q20_peak_5501a,diff__wtInsv_q20__insvInsv_q20_peak_5501b	diff__wtElba3_q20__elba3Elba3_q20_peak_7105	diff__wtElba2_q20__elba2Elba2_q20_peak_1678					
Merged-chr3R-5204576-3	chr3R	5204346	5204801	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2	3	diff__wtInsv_q20__insvInsv_q20_peak_3404	diff__wtElba3_q20__elba3Elba3_q20_peak_4634	diff__wtElba2_q20__elba2Elba2_q20_peak_1113					
Merged-chr3R-12106042-3	chr3R	12105809	12106357	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2	3	diff__wtInsv_q20__insvInsv_q20_peak_3792	diff__wtElba3_q20__elba3Elba3_q20_peak_5075	diff__wtElba2_q20__elba2Elba2_q20_peak_1224					
Merged-chr2R-8476160-10	chr2R	8473843	8477946	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2	10	diff__wtInsv_q20__insvInsv_q20_peak_1370,diff__wtInsv_q20__insvInsv_q20_peak_1369	diff__wtElba3_q20__elba3Elba3_q20_peak_1877a,diff__wtElba3_q20__elba3Elba3_q20_peak_1877b,diff__wtElba3_q20__elba3Elba3_q20_peak_1877c,diff__wtElba3_q20__elba3Elba3_q20_peak_1877d,diff__wtElba3_q20__elba3Elba3_q20_peak_1877e,diff__wtElba3_q20__elba3Elba3_q20_peak_1877f,diff__wtElba3_q20__elba3Elba3_q20_peak_1877g	diff__wtElba2_q20__elba2Elba2_q20_peak_444					
Merged-chr2L-10337024-4	chr2L	10336397	10337572	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2	4	diff__wtInsv_q20__insvInsv_q20_peak_462,diff__wtInsv_q20__insvInsv_q20_peak_463	diff__wtElba3_q20__elba3Elba3_q20_peak_702	diff__wtElba2_q20__elba2Elba2_q20_peak_154a					
Merged-chr2L-6411250-2	chr2L	6411098	6411446	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_755b	Elba3_ChIPnexus_peak_739b		
Merged-chr3R-22729372-2	chr3R	22729297	22729458	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_11498	Elba3_ChIPnexus_peak_11384		
Merged-chr2R-8114181-2	chr2R	8114134	8114241	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_3698	Elba3_ChIPnexus_peak_3697		
Merged-chr3R-23520907-2	chr3R	23520788	23520990	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_11575	Elba3_ChIPnexus_peak_11467		
Merged-chr3L-17875912-2	chr3L	17875793	17876037	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_7788	Elba3_ChIPnexus_peak_7665		
Merged-chrX-14373762-2	chrX	14373646	14373883	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_14009	Elba3_ChIPnexus_peak_13797		
Merged-chr2R-313831-2	chr2R	313659	314186	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_2765a	Elba3_ChIPnexus_peak_2729		
Merged-chrX-15204295-2	chrX	15204237	15204350	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_14071	Elba3_ChIPnexus_peak_13846		
Merged-chr2R-8452673-2	chr2R	8452560	8452822	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_3742	Elba3_ChIPnexus_peak_3745		
Merged-chr2L-17746150-2	chr2L	17746086	17746237	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_2167	Elba3_ChIPnexus_peak_2098		
Merged-chr2L-14274735-2	chr2L	14274605	14274845	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_1813b	Elba3_ChIPnexus_peak_1782		
Merged-chr2L-4686181-2	chr2L	4686105	4686250	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_538	Elba3_ChIPnexus_peak_528		
Merged-chr3R-11299448-3	chr3R	11299348	11299555	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_10091a,Insv_ChIPnexus_peak_10091b	Elba3_ChIPnexus_peak_10015		
Merged-chr2L-5278536-2	chr2L	5278478	5278597	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_603	Elba3_ChIPnexus_peak_601		
Merged-chr3L-19031452-2	chr3L	19031376	19031514	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_7927	Elba3_ChIPnexus_peak_7787		
Merged-chr3L-7088466-2	chr3L	7088361	7088563	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_6379	Elba3_ChIPnexus_peak_6326		
Merged-chr3R-26311899-2	chr3R	26311708	26312108	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_11866	Elba3_ChIPnexus_peak_11764		
Merged-chrX-17190095-2	chrX	17189987	17190180	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_14377	Elba3_ChIPnexus_peak_14143		
Merged-chr3R-12881125-2	chr3R	12881075	12881178	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_10341	Elba3_ChIPnexus_peak_10255		
Merged-chr2R-21114133-2	chr2R	21114027	21114229	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_5441b	Elba3_ChIPnexus_peak_5410		
Merged-chr2L-7856608-2	chr2L	7856516	7856724	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_961	Elba3_ChIPnexus_peak_947		
Merged-chr2L-8206137-2	chr2L	8206042	8206208	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_1014	Elba3_ChIPnexus_peak_1003		
Merged-chr3R-15808040-2	chr3R	15807860	15808139	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_10688	Elba3_ChIPnexus_peak_10560		
Merged-chrX-21071589-2	chrX	21071538	21071643	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_14766	Elba3_ChIPnexus_peak_14491		
Merged-chrX-7121831-2	chrX	7121748	7121912	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_13190	Elba3_ChIPnexus_peak_13039		
Merged-chr3R-16641945-2	chr3R	16641869	16642030	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_10758	Elba3_ChIPnexus_peak_10635		
Merged-chr2R-20744912-2	chr2R	20744859	20744973	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_5381	Elba3_ChIPnexus_peak_5363		
Merged-chr3R-17407029-2	chr3R	17406969	17407091	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_10893	Elba3_ChIPnexus_peak_10755		
Merged-chr2L-10850843-2	chr2L	10850673	10850981	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_1445	Elba3_ChIPnexus_peak_1403b		
Merged-chr3R-18048141-2	chr3R	18048061	18048261	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_10974	Elba3_ChIPnexus_peak_10833		
Merged-chr2L-12653417-2	chr2L	12653317	12653509	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_1650	Elba3_ChIPnexus_peak_1627		
Merged-chr3R-8303168-2	chr3R	8303121	8303218	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_9747	Elba3_ChIPnexus_peak_9656		
Merged-chr2R-11135827-2	chr2R	11135709	11135943	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_4151	Elba3_ChIPnexus_peak_4139		
Merged-chr3RHet-804111-2	chr3RHet	804006	804263	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_12049	Elba3_ChIPnexus_peak_11924		
Merged-chr2L-14177234-2	chr2L	14177154	14177301	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_1797	Elba3_ChIPnexus_peak_1770		
Merged-chr3R-9658930-2	chr3R	9658785	9659074	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_9871	Elba3_ChIPnexus_peak_9794		
Merged-chr3L-21314491-2	chr3L	21314408	21314568	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_8277	Elba3_ChIPnexus_peak_8138		
Merged-chr2L-13930842-2	chr2L	13930581	13931042	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_1772b	Elba3_ChIPnexus_peak_1755		
Merged-chr4-206995-2	chr4	206800	207139	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_12108	Elba3_ChIPnexus_peak_11993		
Merged-chr4-529858-2	chr4	529751	529985	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_12153	Elba3_ChIPnexus_peak_12052		
Merged-chr4-627980-2	chr4	627930	628029	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_12166	Elba3_ChIPnexus_peak_12064		
Merged-chr2R-12231409-2	chr2R	12231310	12231493	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_4315	Elba3_ChIPnexus_peak_4307		
Merged-chr3L-3268832-2	chr3L	3268695	3268938	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_5971	Elba3_ChIPnexus_peak_5954		
Merged-chrX-8188260-3	chrX	8188134	8188389	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_13347a,Insv_ChIPnexus_peak_13347b	Elba3_ChIPnexus_peak_13180		
Merged-chrU-913621-2	chrU	913524	913738	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_12282	Elba3_ChIPnexus_peak_12188		
Merged-chr3L-23081186-2	chr3L	23081106	23081257	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_8498	Elba3_ChIPnexus_peak_8354		
Merged-chrU-2618829-2	chrU	2618766	2618903	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_12309	Elba3_ChIPnexus_peak_12212		
Merged-chr3LHet-935340-2	chr3LHet	935280	935400	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_8570	Elba3_ChIPnexus_peak_8443		
Merged-chr3R-557810-2	chr3R	557721	557899	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_8682	Elba3_ChIPnexus_peak_8586		
Merged-chr2R-3122736-2	chr2R	3122659	3122815	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_3008	Elba3_ChIPnexus_peak_3009		
Merged-chr2R-14827825-4	chr2R	14827642	14828017	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4					Insv_ChIPnexus_peak_4656	Elba3_ChIPnexus_peak_4623a,Elba3_ChIPnexus_peak_4623b,Elba3_ChIPnexus_peak_4623c		
Merged-chr2R-15577735-2	chr2R	15577620	15577832	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_4742	Elba3_ChIPnexus_peak_4711		
Merged-chr3R-1520535-2	chr3R	1520424	1520629	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_8862	Elba3_ChIPnexus_peak_8776		
Merged-chr2R-16174600-2	chr2R	16174465	16174705	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_4807	Elba3_ChIPnexus_peak_4790		
Merged-chrX-3473045-2	chrX	3472728	3473288	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	2					Insv_ChIPnexus_peak_12790	Elba3_ChIPnexus_peak_12654		
Merged-chr2L-16767057-3	chr2L	16766967	16767154	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_2082a,Insv_ChIPnexus_peak_2082b	Elba3_ChIPnexus_peak_2031		
Merged-chrX-19791679-3	chrX	19791409	19791865	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_14691a,Insv_ChIPnexus_peak_14691b	Elba3_ChIPnexus_peak_14431a		
Merged-chr2L-6014721-4	chr2L	6014569	6014845	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	4					Insv_ChIPnexus_peak_698	Elba3_ChIPnexus_peak_691a,Elba3_ChIPnexus_peak_691b		Elba1_ChIPnexus_peak_416
Merged-chr3R-12257666-3	chr3R	12257501	12257779	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_10232	Elba3_ChIPnexus_peak_10132b		Elba1_ChIPnexus_peak_6568
Merged-chr2L-7411818-4	chr2L	7411523	7412080	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	4					Insv_ChIPnexus_peak_906	Elba3_ChIPnexus_peak_895a,Elba3_ChIPnexus_peak_895b		Elba1_ChIPnexus_peak_535
Merged-chr3R-15170848-3	chr3R	15170684	15171141	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_10629a	Elba3_ChIPnexus_peak_10503a		Elba1_ChIPnexus_peak_6785
Merged-chr2R-18994040-3	chr2R	18993944	18994114	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_5146	Elba3_ChIPnexus_peak_5137b		Elba1_ChIPnexus_peak_3322
Merged-chrX-7586627-3	chrX	7586476	7586751	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_13253	Elba3_ChIPnexus_peak_13084		Elba1_ChIPnexus_peak_8522
Merged-chr2RHet-2572978-3	chr2RHet	2572687	2573136	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_5498	Elba3_ChIPnexus_peak_5477		Elba1_ChIPnexus_peak_3552
Merged-chr3L-24348309-3	chr3L	24348230	24348415	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_8544a	Elba3_ChIPnexus_peak_8408		Elba1_ChIPnexus_peak_5460
Merged-chr3LHet-220725-3	chr3LHet	220540	221165	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_8551a	Elba3_ChIPnexus_peak_8420		Elba1_ChIPnexus_peak_5471
Merged-chr3R-27861622-3	chr3R	27861544	27861700	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_12027	Elba3_ChIPnexus_peak_11905		Elba1_ChIPnexus_peak_7708
Merged-chr2L-14103350-3	chr2L	14103269	14103410	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_1790	Elba3_ChIPnexus_peak_1767		Elba1_ChIPnexus_peak_1109
Merged-chr3L-22267284-3	chr3L	22267224	22267340	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_8398	Elba3_ChIPnexus_peak_8272		Elba1_ChIPnexus_peak_5355
Merged-chrX-12684076-3	chrX	12683996	12684167	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_13851	Elba3_ChIPnexus_peak_13648		Elba1_ChIPnexus_peak_8869
Merged-chrX-8189730-3	chrX	8189364	8189862	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_13348c	Elba3_ChIPnexus_peak_13182		Elba1_ChIPnexus_peak_8577
Merged-chrX-13924094-3	chrX	13923988	13924187	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_13985	Elba3_ChIPnexus_peak_13774		Elba1_ChIPnexus_peak_8954a
Merged-chrU-9194568-3	chrU	9194508	9194634	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_12380	Elba3_ChIPnexus_peak_12288		Elba1_ChIPnexus_peak_8043
Merged-chr3L-23257165-3	chr3L	23257066	23257240	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_8513	Elba3_ChIPnexus_peak_8371		Elba1_ChIPnexus_peak_5423
Merged-chr3LHet-1038548-3	chr3LHet	1038491	1038608	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	3					Insv_ChIPnexus_peak_8576	Elba3_ChIPnexus_peak_8447		Elba1_ChIPnexus_peak_5498
